sigma_cor,Q_cor,p
0.9999998807907104,0.44419750571250916,0.01
0.9951106905937195,0.4031886160373688,1.1
0.9804955720901489,0.3586333096027374,2.19
0.9553627371788025,0.3113015592098236,3.2800000000000002
0.9167851805686951,0.26091131567955017,4.37
0.8568788170814514,0.20560716092586517,5.46
0.7404606342315674,0.13565734028816223,6.550000000000001
0.2998217046260834,0.01993148773908615,7.640000000000001
0.06911615282297134,0.000727413163986057,8.73
0.04585278779268265,0.00011553751392057166,9.82
0.03718878701329231,4.921625804854557e-05,10.91
0.033029716461896896,2.4818864403641783e-05,12.0
