sigma_cor,Q_cor,p
0.5000212720359347,0.44410211197153954,0.01
0.4991513000212992,0.42084769584089476,0.6410526315789474
0.49669131854260373,0.396254344441807,1.2721052631578948
0.4925998484740551,0.370512827243304,1.9031578947368424
0.48674977683395754,0.34366783806013806,2.5342105263157895
0.4788462317798941,0.31556198589926254,3.165263157894737
0.468280088266738,0.2857185124935369,3.7963157894736845
0.4537798805356411,0.25307538846402516,4.427368421052631
0.4325435983561857,0.21545600455679975,5.058421052631579
0.3980862121053576,0.16891820347463882,5.689473684210527
0.3351662314432656,0.10895359718103272,6.320526315789474
0.22095235449769654,0.04363939839923585,6.9515789473684215
0.09662451373935564,0.008271991030055945,7.582631578947369
0.03412472509879839,0.001027376384005036,8.213684210526317
0.011994546702624603,0.00011852104494543047,8.844736842105263
0.004396909650898549,1.436707813411183e-05,9.47578947368421
0.0016852409248250073,1.921383628339049e-06,10.106842105263159
0.0006744303919715461,2.371998246134179e-07,10.737894736842106
0.00028137899110605,3.882520737589046e-08,11.368947368421054
0.00012326974004228092,6.907239868378493e-09,12.0
