sigma_cor,Q_cor,p
0.9999998807907104,0.44419750571250916,0.01
0.9951104521751404,0.4031863808631897,1.1
0.9804142713546753,0.3585256338119507,2.19
0.9545429348945618,0.3104844391345978,3.2800000000000002
0.9124353528022766,0.25744035840034485,4.37
0.8367174863815308,0.1934371292591095,5.46
0.6723543405532837,0.10768450796604156,6.550000000000001
0.3796488344669342,0.026573659852147102,7.640000000000001
0.17950507998466492,0.0034144341479986906,8.73
0.10857085138559341,0.0005402206443250179,9.82
0.0829155221581459,0.0001894168381113559,10.91
0.07093556970357895,7.469791307812557e-05,12.0
