L,J,U,s
8,1,1,0.5
0.50023085,0.44383207,0.01
0.49812517,0.41259524,0.6410526315789474
0.4914062,0.3730685,1.2721052631578948
0.48024964,0.32795975,1.9031578947368424
0.46488914,0.2803664,2.5342105263157895
0.4452181,0.23289868,3.165263157894737
0.42064893,0.18744327,3.7963157894736845
0.3903884,0.14543259,4.427368421052631
0.35411698,0.108184025,5.058421052631579
0.31278494,0.076913565,5.689473684210527
0.2688785,0.052360132,6.320526315789474
0.22570641,0.034394346,6.9515789473684215
0.18615897,0.022048267,7.582631578947369
0.15190567,0.013958633,8.213684210526317
0.12337334,0.008813914,8.844736842105263
0.10017721,0.005592997,9.47578947368421
0.08156379,0.0035835293,10.106842105263159
0.066715196,0.0023248498,10.737894736842106
0.05487558,0.0015297281,11.368947368421054
0.045412872,0.001021342,12.0
