sigma_cor,Q_cor,p
0.9999998807907104,0.44419750571250916,0.01
0.994580864906311,0.40224307775497437,1.1
0.9768752455711365,0.35393545031547546,2.19
0.9415963292121887,0.29749250411987305,3.2800000000000002
0.8798742890357971,0.2317321002483368,4.37
0.7775738835334778,0.1574358195066452,5.46
0.6324313282966614,0.08695358037948608,6.550000000000001
0.4734300374984741,0.038291316479444504,7.640000000000001
0.3420804738998413,0.014612258411943913,8.73
0.2530745565891266,0.005458439700305462,9.82
0.1977268010377884,0.0021584166679531336,10.91
0.16364894807338715,0.0009214681340381503,12.0
