4,1.0,10.0,0.5,400,0.0025,1.0,40000,17758.561840057373
fid,fid_std,R2,R2_std
6.878681688249344e-06,9.094947017729282e-13,0.0,0.0
0.03319429233670235,0.00036594100294192226,0.00019653467170428486,5.3603778671404675e-06
0.063859723508358,0.00020743274125367174,0.000749601935967803,6.189436624554466e-06
0.09359827637672424,0.0003366196786190122,0.0016648211749270558,1.5599891648879362e-05
0.12144932895898819,0.0007696869910031592,0.0028865087777376177,4.71002082863889e-05
0.1471584439277649,0.0008293656259056256,0.0043582703918218614,6.577467419174587e-05
0.17177411913871765,0.0006079295277519658,0.006104210764169693,5.779724988276161e-05
0.1947806477546692,0.0004451273211795181,0.008048595115542411,5.2468618305323716e-05
0.21762795746326447,0.0009242177316336267,0.010320626385509967,0.00011470632483414672
0.24003925919532776,0.0008367310410670371,0.012896385416388512,0.00011639486755928343
0.26135751605033875,0.0008976854832377606,0.015689474157989027,0.0001366975726875847
0.28051483631134033,0.0008211902589272743,0.018493466824293137,0.0001410212570087196
0.29925283789634705,0.000565981261829524,0.021545751392841338,0.00010843301288349631
0.31673967838287354,0.0009957244987204507,0.024684127792716025,0.00022219502580158508
0.33387917280197144,0.0011453227529291548,0.02805262543261051,0.0002741227402018257
0.35014086961746216,0.0010842380302081849,0.03149334639310837,0.00027474028060792545
0.3664279580116272,0.0008180161114506453,0.035237162560224536,0.0002148606347729505
0.38184279203414917,0.0012622022790191284,0.03907086327672005,0.00036940579157261036
0.39501094818115234,0.0013009604735409407,0.04259688630700111,0.00041468740020700996
0.41017866134643555,0.0014851169345616463,0.04694741368293762,0.0005178499412806649
0.4232958257198334,0.0010929067721486831,0.050893135368824005,0.0004119616459259523
0.43634232878685,0.0012701075219136904,0.05509819015860558,0.0005204168198503777
0.44808974862098694,0.0017831798185829653,0.05908382013440132,0.0007309091726751387
0.4607526659965515,0.0021391949350125982,0.06362335979938508,0.0009365915079693806
0.47065669298171997,0.0018453613300968908,0.06736853867769241,0.0008526871113089122
0.48181676864624023,0.0020510627207168727,0.07177984863519668,0.0009962405909848843
0.4912147521972656,0.0027427459790248755,0.07566760182380676,0.001370554041351308
0.5002849698066711,0.0023030750988297303,0.0795685276389122,0.0012121172458752518
0.5103694796562195,0.00223747457765097,0.08410004079341889,0.0012296729498927211
0.5193992257118225,0.0016937638183968625,0.08834249079227448,0.0009899861011329828
0.5293964147567749,0.0014871041489465551,0.0932677999138832,0.0008888797614848566
0.5381079912185669,0.0018281491393148182,0.09777227342128754,0.001139990287693768
0.5469924807548523,0.0021102070360927145,0.10250406563282013,0.0013776607450999303
0.5555691719055176,0.0016455027292953664,0.10723848938941956,0.0010647969441568816
0.5620933175086975,0.0023610531675808386,0.1109484851360321,0.0015724334049939674
0.5712546706199646,0.002586432261984293,0.11631721258163452,0.0017975395724460443
0.5776633024215698,0.002638685135611479,0.12017783224582672,0.0018940640255873519
0.5844973921775818,0.002488970260372802,0.12443723529577255,0.0018657966455113057
0.5910011529922485,0.002992813197136777,0.12869313061237336,0.002283888553369108
