R2,R4,R6,R8,p
0.9999996093742748,0.999998437495879,0.9999964843648125,0.9999937499835188,0.01
0.9971234853240619,0.9884258610290214,0.9737786279346722,0.9532717460699504,0.8515789473684211
0.9880296215351244,0.9510523124532965,0.8869672835246968,0.7987616709467993,1.6931578947368422
0.9706732228840524,0.875628204398511,0.7100168059017531,0.5121957700536867,2.534736842105263
0.9401526632078995,0.7340263017510978,0.43782202556014777,0.21584462271162405,3.376315789473684
0.8858373866813175,0.5162755189211652,0.19134113391002422,0.06369906840606723,4.217894736842105
0.7911281742639303,0.2795760567044034,0.06243265473289217,0.014577660113752697,5.059473684210526
0.6486786791692136,0.12159564055468826,0.016940566742104445,0.002724098764180884,5.901052631578947
0.48496043690665275,0.04637908255027327,0.004269472753457472,0.00045519031919469933,6.7426315789473685
0.3414019604673738,0.017529280199623364,0.0010880252692820796,7.659015771725994e-05,7.58421052631579
0.23568953236354892,0.007447217560643732,0.000303789950247935,1.4149500157437057e-05,8.42578947368421
0.16377813455864718,0.0033735834912121403,9.313931248592253e-05,2.9530831057184404e-06,9.267368421052632
0.1160643345035855,0.0016308639871457176,3.1487586140246e-05,6.979437893418167e-07,10.108947368421052
0.08406724243620145,0.0008288038938208946,1.1579979702989433e-05,1.84359321979217e-07,10.950526315789475
0.06220008364726499,0.00044733742949972427,4.593421675824745e-06,5.382230807783976e-08,11.792105263157895
0.04711994212817383,0.0,0.0,0.0,12.633684210526317
0.03619088149623324,0.0,0.0,0.0,13.475263157894737
0.028250701026458006,0.0,0.0,0.0,14.316842105263158
0.022363302306116124,0.0,0.0,0.0,15.15842105263158
0.017591854542048497,0.0,0.0,0.0,16.0
