R2,R4,R6,R8,p
0.9999996093749994,0.9999984375012209,0.9999964843823247,0.9999937500244122,0.01
0.9971551224546938,0.9886207660644909,0.9744450956199204,0.955011037293147,0.8515789473684211
0.9886084491786312,0.9544516447226203,0.8992178247178795,0.8261304146561681,1.6931578947368422
0.9738985031081356,0.8958120113773819,0.7754028903028912,0.632522833184663,2.534736842105263
0.9521434382211202,0.8099417113997557,0.6090118010073762,0.40927743568329383,3.376315789473684
0.9217949637761379,0.6931006157577203,0.4146730381731363,0.19845044968600875,4.217894736842105
0.8799804293186374,0.5395375403392075,0.20944435141118872,0.05653477430862737,5.059473684210526
0.8196680004141351,0.33011552183176807,0.05549473905734126,0.009595377602289285,5.901052631578947
0.7080233305412371,0.08901395203035327,0.006046742510244138,0.0006416583167692428,6.7426315789473685
0.5714487625285283,0.023250662219356174,0.0009455623876793999,5.9590656835226295e-05,7.2
0.38683627757935407,0.005261658909717434,0.00011867766203074555,3.938023451374684e-06,7.58421052631579
0.1701054109244341,0.0006000209489998325,5.234408812761263e-06,6.36370225269828e-08,8.08
0.08737352102767883,0.00013245036313169983,5.757449002840929e-07,3.4033812521707923e-09,8.42578947368421
0.04234335420005207,2.7751672568128332e-05,5.771722733868839e-08,1.6020296572588296e-10,8.8
0.017701884042129894,4.432209955345619e-06,3.829383260131387e-09,4.342044904831608e-12,9.267368421052632
0.004125347140796077,2.177562505548815e-07,4.363142873427417e-11,1.124280542868432e-14,10.108947368421052
0.0010964977922046982,1.4425364311325746e-08,7.657151773668881e-13,5.156847558909794e-17,10.950526315789475
0.0003247097551353036,1.2072614506794224e-09,1.890432556436931e-14,3.720130874169636e-19,11.792105263157895
0.00010523016036962561,1.2226986249136438e-10,6.178663353348372e-16,3.896490395852817e-21,12.633684210526317
3.6666327072939605e-05,1.4164360542422445e-11,2.4465240638398368e-17,5.259945329982284e-23,13.475263157894737
1.3709485183812135e-05,1.9302770746047794e-12,1.2398602852156053e-18,9.875261302139132e-25,14.316842105263158
5.433587263502499e-06,2.9656717854310517e-13,7.523659897895063e-20,2.356751713791068e-26,15.15842105263158
2.261036364192955e-06,4.959000406539295e-14,5.249367906369592e-21,6.7764751483834305e-28,16.0
