R2,R4,R6,R8,p
0.9999996093750001,0.999998437501217,0.9999964843823197,0.9999937500244088,0.01
0.9971551224549033,0.9886207669520165,0.9725000960381504,0.953382874049482,0.8515789473684211
0.9886084492413542,0.9544517471057449,0.8990060128035279,0.8201148117545997,1.6931578947368422
0.9738985045882269,0.8958134845049229,0.7754086562910757,0.6398933685081603,2.534736842105263
0.9521436107076625,0.8099413545439599,0.6090864835246765,0.41024102172667637,3.376315789473684
0.9218016988722164,0.6933007945136153,0.41701123895815034,0.21261374003966954,4.217894736842105
0.8801215603842255,0.5428674561449968,0.23036027513382581,0.07349218715841072,5.059473684210526
0.8216969688613391,0.35971089932343236,0.07965213579927463,0.013117803778715109,5.901052631578947
0.73264700562573,0.14560306179114466,0.010362619972102667,0.0011665217488173567,6.7426315789473685
0.6496612674578727,0.04182804223943645,0.00171618393141742,0.00012683717892232352,7.2
0.48845643758416496,0.005979524742682003,0.000125838006220151,4.236921629431989e-06,7.58421052631579
0.12197466557073534,0.00010503290695494671,3.7982310266303854e-07,1.941086703878177e-09,8.08
0.030489235272877415,5.036291542852927e-06,4.327215611991484e-09,5.0580480565166605e-12,8.42578947368421
0.006998157048232588,2.2965241403141292e-07,4.447963234254437e-11,1.1433110309007608e-14,8.8
0.0012370513841303925,6.389017176048067e-09,2.1596977273137097e-13,9.489037320731993e-18,9.267368421052632
7.014402971322183e-05,1.7655257415900488e-11,3.295231927616464e-17,7.81219366002556e-23,10.108947368421052
5.093466796565184e-06,7.95820989006151e-14,1.0198227681032267e-20,1.6424832379357613e-27,10.950526315789475
4.470521948010502e-07,4.914937880546583e-16,4.956509830241227e-24,6.281335143474075e-32,11.792105263157895
4.752088230536008e-08,5.053550240021776e-18,5.2283585759889615e-27,6.895702486951145e-36,12.633684210526317
5.508910990877242e-09,4.825687532045826e-20,4.760294618661582e-30,5.944716997626364e-40,13.475263157894737
7.766551710559442e-10,8.970665131814595e-22,1.2144118185954356e-32,2.074116664911478e-43,14.316842105263158
1.2282420121543638e-10,2.1240210386416542e-23,4.447652690021363e-35,-1.7202664175288708e-37,15.15842105263158
2.1129422948549323e-11,5.815317328386379e-25,1.7796698105617895e-38,-2.216034053665087e-42,16.0
