fid,R2,R4,R6,R8,h
0.9031745252746323,0.6107133669454783,0.14645788198124118,0.030648711404768728,0.0068168118654803244,0.98989898989899
0.8986681647447053,0.5964294745569115,0.13668192160896847,0.02765167986465102,0.005960289333423974,1.0101010101010102
0.8940935900418627,0.582302473506425,0.12760293810735976,0.024967662029098076,0.005216407988922988,1.0303030303030305
0.8894561388459028,0.5683560948635596,0.11917485616932627,0.022562988295213346,0.0045699675042666955,1.0505050505050506
0.8847611385552643,0.5546115494741195,0.1113533621544095,0.02040756378298539,0.004007830638885835,1.0707070707070707
0.8800138742095398,0.5410875445929983,0.1040961369204825,0.018474519173218476,0.003518647996113514,1.090909090909091
0.875219559572704,0.5278003365568942,0.09736300729703043,0.01673988731351879,0.0030926177738957923,1.1111111111111112
0.8703833114861513,0.5147638135287745,0.09111603103133825,0.015182305846918862,0.0027212764844824384,1.1313131313131315
0.8655101275149613,0.5019896024206644,0.08531952831442875,0.013782745406452503,0.0023973169882414336,1.1515151515151516
0.8606048668377336,0.48948719437768734,0.0799400712554348,0.012524262428140203,0.0021144305432717497,1.1717171717171717
0.8556722342703059,0.4772640836313736,0.07494644100408313,0.011391775311615383,0.0018671699104204072,1.191919191919192
0.8507167672664055,0.4653259150549868,0.07030956067331326,0.010371862460637949,0.0016508308696110859,1.2121212121212122
0.8457428257030876,0.45367663633471933,0.06600241081661132,0.009452580632690825,0.0014613497964113876,1.2323232323232325
0.8407545842345312,0.4423186512719461,0.061999932979472684,0.008623301992666615,0.0012952152168525287,1.2525252525252526
0.835756026983092,0.4312529713246102,0.058278925771845826,0.00787456828094899,0.0011493915037374802,1.272727272727273
0.8307509443300646,0.4204793630589325,0.054817936991154885,0.0071979605560987935,0.0010212530996274675,1.292929292929293
0.8257429315688702,0.4099964897010898,0.05159715455154751,0.006585983045497075,0.0009085278513533171,1.3131313131313131
0.8207353891891012,0.3998020454432815,0.04859829833000874,0.00603195972508385,0.000809248219494938,1.3333333333333335
0.8157315245696665,0.38989288156513147,0.045804514508597426,0.005529942345302197,0.0007217092852127818,1.3535353535353536
0.8107343548721142,0.38026512377885996,0.04320027355919906,0.005074628719750452,0.0006444326176044064,1.373737373737374
0.8057467109400991,0.3709142804969944,0.04077127266854703,0.004661290192396678,0.000576135188938926,1.393939393939394
0.8007712420270265,0.3618353419581852,0.03850434312371537,0.004285707296061439,0.0005157026342262534,1.4141414141414144
0.7958104211905791,0.35302287033499413,0.036387362960158987,0.00394411270755894,0.00046216624710057467,1.4343434343434345
0.79086655120947,0.34447108109271984,0.034409175005351726,0.003633140692311791,0.0004146831873615322,1.4545454545454546
0.7859417708940359,0.3361739159761781,0.032559510322282256,0.0033497823127881104,0.0003725194480614298,1.474747474747475
0.781038061677847,0.3281251080775456,0.030828916960952454,0.003091345750452289,0.0003350351929945948,1.494949494949495
0.7761572543921754,0.3203182394880401,0.02920869385614912,0.002855421160007504,0.0003016721299738707,1.5151515151515154
0.7713010361387608,0.3127467920643595,0.0276908296608306,0.0026398495376633883,0.00027194263240513234,1.5353535353535355
0.7664709571888028,0.30540419185162376,0.026267946272026933,0.0024426951422175146,0.0002454203623251931,1.5555555555555556
0.7616684378474406,0.29828384770191463,0.024933246786588297,0.0022622210592162808,0.00022173218308611708,1.575757575757576
0.7568947752331671,0.2913791846145669,0.023680467614449426,0.0020968675447204776,0.00020055117999021746,1.595959595959596
0.7521511499306979,0.2846836723038976,0.02250383447493069,0.0019452328266363207,0.0001815906330602123,1.6161616161616164
0.7474386324838427,0.27819084947427275,0.021398022005029143,0.0018060560785781287,0.00016459880834345623,1.6363636363636365
0.7427581897019528,0.2718943442531904,0.020358116716148,0.0016782023141982446,0.00014935445320217146,1.6565656565656568
0.7381106907596447,0.2657878912018352,0.01937958304605113,0.0015606489792301522,0.00013566289737250607,1.676767676767677
0.7334969130747693,0.25986534529048416,0.018458232265061842,0.0014524740445005667,0.0001233526755659906,1.696969696969697
0.7289175479541402,0.2541206931941532,0.017590194008930356,0.0013528454262132247,0.00011227259936876976,1.7171717171717173
0.7243732060003661,0.2485480622325432,0.016771890224789806,0.0012610115801992877,0.00010228921645254662,1.7373737373737375
0.719864422276381,0.24314172724825095,0.01600001133080275,0.0011762931348551927,9.328460389354452e-05,1.7575757575757578
0.715391661226969,0.2378961156886038,0.015271494404137482,0.001098075443406325,8.515444991396117e-05,1.777777777777778
0.7109553213588179,0.23280581112962956,0.014583503225590265,0.0010258019501814986,7.780638479699092e-05,1.7979797979797982
0.7065557396824624,0.2278655554556683,0.013933410022317995,0.0009589682779704061,7.11585272378544e-05,1.8181818181818183
0.702193195920935,0.22307024988503468,0.013318778762663774,0.0008971169544552895,6.513821711360316e-05,1.8383838383838385
0.6978679164911176,0.21841495501095318,0.012737349868879765,0.0008398327053298053,5.968090969853661e-05,1.8585858585858588
0.693580078264663,0.21389489000763484,0.01218702622463897,0.0007867382501939378,5.47292098180146e-05,1.878787878787879
0.6893298121160523,0.2095054311338149,0.011665860364575516,0.0007374905447800569,5.023202740529624e-05,1.8989898989898992
0.6851172062657997,0.20524210965019937,0.011172042742702787,0.0006917774196409898,4.6143838475391124e-05,1.9191919191919193
0.6809423094271658,0.2011006092529638,0.010703890985449391,0.0006493145712228578,4.242403771804467e-05,1.9393939393939394
0.6768051337649049,0.19707676311265693,0.010259840043258334,0.0006098428663477857,3.903637079120858e-05,1.9595959595959598
0.6727056576746592,0.1931665505963814,0.00983843316223825,0.0005731259256264068,3.594843601121015e-05,1.97979797979798
0.6686438283915701,0.1893660937409168,0.009438313604281733,0.0005389479552812333,3.313124652449743e-05,2.0
