R2,R4,R6,R8,p
0.9999996093750008,0.9999984375012211,0.9999964843823244,0.9999937500244146,0.01
0.9971551191377586,0.9886207123590999,0.9744958478763724,0.9554455407244674,0.8515789473684211
0.9886076262858302,0.9544387488706789,0.8991557991073772,0.8285482374757653,1.6931578947368422
0.9738763312073356,0.8954900071404408,0.7738610348760803,0.6280061989851561,2.534736842105263
0.9519037803790839,0.8068187718572729,0.5949703543517301,0.37225115566905015,3.376315789473684
0.9201673032139687,0.6743665461807795,0.35571386546899525,0.13962777467926532,4.217894736842105
0.8713540898677232,0.4670445939768601,0.13208626685921315,0.03294021392350949,5.059473684210526
0.7813898259522071,0.20784987860080587,0.028545980293185915,0.004771763969279486,5.901052631578947
0.5961743644093481,0.05056698012752924,0.003520036851634492,0.0003340594104890569,6.7426315789473685
0.3395934086182466,0.008353771613586108,0.00026993664246518253,1.1734542241606669e-05,7.58421052631579
0.15982898521356714,0.0013416098283125751,1.9034296255035712e-05,3.540681322062559e-07,8.42578947368421
0.07402249077320631,0.000249617618845453,1.6114564591445507e-06,1.3390749904670889e-08,9.267368421052632
0.03594206522735303,5.469589505946308e-05,1.7073863362098762e-07,6.775759028930212e-10,10.108947368421052
0.018462480335802695,1.3829352220527234e-05,2.2184463550261885e-08,4.484353048352778e-11,10.950526315789475
0.009986733396624226,3.9351876491846104e-06,3.418268419614409e-09,3.715953751604835e-12,11.792105263157895
0.005641802372732171,1.2274738558292379e-06,6.007366875977526e-10,3.663718891425451e-13,12.633684210526317
0.003318467561609433,4.1757686058632267e-07,1.201059545393839e-10,4.2946630610357e-14,13.475263157894737
0.002019520034703368,1.5260088721555294e-07,2.6622446281225602e-11,5.7854637947956985e-15,14.316842105263158
0.0012491483805591563,5.5820241104054054e-08,5.792029170217298e-12,7.503123071520906e-16,15.15842105263158
0.0008035787882252568,2.281635480114788e-08,1.5171444417962092e-12,0.0,16.0
